Signal Legend:

Key        Signal Name

0        = SW[9..0]
1        = KEY[3..0]
2        = KEY[3]
3        = KEY[2]
4        = KEY[1]
5        = KEY[0]
6        = X_reg[15..0]
7        = Y_reg[15..0]
8        = ALUout_wire[7..0]
9        = LEDR[9..0]
10       = GPIO[9..9]
11       = GPIO[9]

Data Table:

Signals-> 0    1  2 3 4 5 6     7     8   9    10 11 

sample

-128      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-127      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-126      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-125      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-124      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-123      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-122      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-121      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-120      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-119      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-118      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-117      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-116      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-115      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-114      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-113      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-112      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-111      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-110      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-109      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-108      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-107      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-106      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-105      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-104      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-103      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-102      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-101      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-100      300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-99       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-98       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-97       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-96       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-95       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-94       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-93       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-92       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-91       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-90       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-89       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-88       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-87       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-86       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-85       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-84       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-83       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-82       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-81       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-80       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-79       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-78       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-77       300h Fh 1 1 1 1 0004h 0009h 00h 002h 0h 0  
-76       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-75       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-74       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-73       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-72       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-71       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-70       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-69       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-68       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-67       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-66       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-65       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-64       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-63       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-62       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-61       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-60       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-59       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-58       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-57       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-56       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-55       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-54       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-53       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-52       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-51       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
-50       300h Fh 1 1 1 1 0004h 0009h 00h 002h 1h 1  
